,episode,total_reward,average_loss
0,1,-96.69002046733604,26.796064334757187
1,2,-50.22865756749743,3.0674310878664257
2,3,-38.45335486353934,1.7009823109954596
3,4,-62.90005811627944,1.2063238223269581
4,5,-85.53843143687067,1.001922350153327
5,6,-63.147787887965094,0.563545998185873
6,7,-82.68655732129552,0.964178639575839
7,8,-64.29188578255695,0.5035080435872078
8,9,-35.06136289983769,0.6556806173920632
9,10,-44.78198799169304,0.17783856719732286
10,11,-51.03100243784873,0.20394134547561407
11,12,-79.64757573825084,0.10634884629398585
12,13,-71.72471909342408,0.08851348500698805
13,14,-69.76003136300544,0.10935543300583958
14,15,-7.679098750931645,0.15384079795330763
15,16,-78.8369967070184,0.24444766599684953
16,17,-88.13625312931893,0.23901126068085432
17,18,-72.26989680697973,0.18696836899966002
18,19,-72.60649219632244,0.23104396797716617
19,20,-66.50839836723137,0.2317926475778222
20,21,-36.43004721456698,0.17198976881802083
21,22,-78.2734452416803,0.29403117917478083
22,23,-92.58235811642237,0.3116024138405919
23,24,-22.626888266547216,0.23054841820150615
24,25,-43.88114511399417,0.23625242497771978
25,26,-26.686011232160784,0.20674030669033527
26,27,-47.1757180694426,0.22762630857527255
27,28,-70.36095577597403,0.46867637254297734
28,29,-41.629611120614015,0.2142252206429839
29,30,-86.66942759482657,0.10092051807790994
30,31,-56.26937012231165,0.1286662546917796
31,32,-57.20312058841055,0.17521933130919934
32,33,-80.36549083343245,0.1605419511348009
33,34,-82.80771413874047,0.22741123612970113
34,35,-80.58801350236887,0.21715143866837025
35,36,-92.78502405671108,0.1928262350335717
36,37,-71.26204785712459,0.37331523090600965
37,38,-84.14624454153655,0.30014711286872625
38,39,-82.95708375087416,0.32660492938011887
39,40,-33.723065885402086,0.22665368065237998
40,41,-73.57964876351537,0.16318369820713996
41,42,-88.92667393044621,0.2093563074991107
42,43,-73.48248425472505,0.15990377739071845
43,44,-51.74549869846382,0.13409554425626993
44,45,-45.58137683219012,0.20324528150260449
45,46,-96.39546417123096,0.2634574907645583
46,47,-67.5688328820929,0.22151995975524186
47,48,-82.94345216534121,0.29770029917359353
48,49,-61.156657993854566,0.281574929356575
49,50,-89.90396585902707,0.2738576993718743
50,51,-91.81376345103777,0.2204966901987791
51,52,-91.51040165779402,0.22661617666482925
52,53,-54.952984872398744,0.13074966449290515
53,54,-50.322184678522646,0.34124485202133653
54,55,-47.61968392242527,0.1747041666507721
55,56,-64.40690979675327,0.27472498670220374
56,57,-37.561525314523514,0.15671078920364379
57,58,-69.83111212333866,0.24327846992760896
58,59,-67.59819856473348,0.25750703234225514
59,60,-53.760326195889085,0.2694078906998038
60,61,-96.52720668243526,0.23717794075608253
61,62,-89.82702862876164,0.26750685442239047
62,63,-85.96516720051923,0.22401052638888358
63,64,-11.89611293111941,0.25309307865798475
64,65,-81.75707554572546,0.27807865280658006
65,66,-86.37174127223136,0.24145764268934727
66,67,-78.2491644225517,0.18554263979196547
67,68,-38.14470153522614,0.20617158938199281
68,69,-8.860612447034848,0.27421208584681156
69,70,0.33631290367708266,0.3040736359357834
70,71,-32.70360308310697,0.24699789237231015
71,72,-82.30461056187822,0.2478871627524495
72,73,-56.6506079588044,0.22850873872637747
73,74,-76.73817698596869,0.25144786782562734
74,75,-43.86071092716268,0.19859354522079228
75,76,-82.81320608360163,0.24895448138937354
76,77,-78.99953471734028,0.27137560926377774
77,78,-65.54557770118313,0.2581838772632182
78,79,-69.04055847282203,0.28026484295725823
79,80,-60.282338596496956,0.2752012064307928
80,81,-41.64279353013843,0.22444702669978142
81,82,-90.94460804141704,0.2596301445737481
82,83,-32.12848985075688,0.2179742063395679
83,84,-56.34867602455064,0.24393152941018342
84,85,-49.235755074621295,0.2237990577146411
85,86,-95.49135034004746,0.24136449908837676
86,87,-67.4261676280848,0.4509832073003054
87,88,-8.4586840171258,0.1356250461190939
88,89,-77.11800346303873,0.33772662887349725
89,90,-59.27274169979697,0.36128951858729125
90,91,-73.46191855459467,0.35895403265953063
91,92,-82.53056543899719,0.27168498884886505
92,93,-72.61078006665589,0.23575334265828132
93,94,-95.18781801803924,0.2540487248823047
94,95,-32.65269183722397,0.2867831372842193
95,96,-80.57486535894456,0.3014668805524707
96,97,-82.15035478334494,0.20648837875574827
97,98,-83.87113767411157,0.30510623171925544
98,99,-46.80163004412118,0.12514427587389945
99,100,-94.69141054559749,0.20895516891032456
100,101,-8.040594281541798,0.19610003508627416
101,102,-76.36592244519981,0.2170893644914031
102,103,-71.92757573220412,0.1500082113966346
103,104,-94.47216331233184,0.38513265140354636
104,105,-77.69769396900757,0.23860673133283852
105,106,-65.8691448905388,0.2020502768456936
106,107,-76.70938960576264,0.3395754433423281
107,108,-60.95675853282491,0.3667314983159304
108,109,-38.2817143974558,0.21238648395985366
109,110,-57.0500884893563,0.36844727691262963
110,111,-72.11020916159055,0.37334412179887294
111,112,-94.85028620258672,0.30760953452438117
112,113,-90.4982647950899,0.3089630026742816
113,114,-84.37958625007825,0.44442247565835713
114,115,-34.260096530493016,0.2173742178454995
115,116,-83.68698043030983,0.3116344205848873
116,117,-74.07563568991921,0.29896683894097803
117,118,-67.03134687821697,0.3406731847859919
118,119,-98.21116160327833,0.43216108620166777
119,120,-80.75177951638301,0.4703234055265784
120,121,-58.28026479388109,0.25708440367132424
121,122,-74.23996564282626,0.1809074603393674
122,123,-44.465367130560516,0.2594692607969046
123,124,-81.71003371340733,0.39569263350218536
124,125,-67.06441451881442,0.22035949919372796
125,126,-98.29367123871722,0.2824256657063961
126,127,-93.00040165779397,0.40481825415045025
127,128,-95.71883117545684,0.37608878914266825
128,129,-55.91674220755496,0.49226409729570153
129,130,-97.0114285775021,0.38118348333984614
130,131,-82.28213528361148,0.3379028717242181
131,132,-52.871952055427826,0.33697519071400167
132,133,-11.872222789085948,0.1932492074370384
133,134,-60.29183557382139,0.5092607955820858
134,135,-96.52906794061818,0.5132380097359419
135,136,-70.85602922759517,0.4433543412387371
136,137,-85.26134709079045,0.13797477785497902
137,138,-39.85442707860423,0.4002419905364513
138,139,-86.95303384216052,0.42767340179532765
139,140,-94.19624941239952,0.5111693589761853
140,141,-87.33645733501689,0.4817691884934902
