,episode,total_reward,average_loss
0,1,[-401.69071141],1.0222338873948624
1,2,[-391.68223589],1.5901144110795222
2,3,[-391.77546959],5.828895710935496
3,4,[-390.99928284],9.4538658098741
4,5,[-390.12963729],11.151135640914994
5,6,[-390.93751878],9.548775541661966
6,7,[-389.47729823],13.460631316358393
7,8,[-392.48957606],11.549417618549231
8,9,[-391.86827695],11.235859100264733
9,10,[-390.56467584],15.0182506424008
10,11,[-390.34780203],13.816224501590536
11,12,[-390.5953966],14.181137227048778
12,13,[-390.00546445],11.368962777985466
13,14,[-390.9993896],22.494796667436155
14,15,[-390.84395657],15.849725968909986
15,16,[-388.88769087],16.38353630388626
16,17,[-389.75776461],13.51152046882745
17,18,[-388.29840717],18.578384112228047
18,19,[-388.60937815],20.45829740076354
19,20,[-390.59474853],14.381456039168619
20,21,[-390.13071654],16.2955558360225
21,22,[-392.76810306],20.302782565656333
22,23,[-391.06093753],17.69754501906308
23,24,[-390.34801781],16.327823660590433
24,25,[-392.14777568],17.622218923135236
25,26,[-390.37777056],21.40807848265677
26,27,[-390.06862808],18.14273069723688
27,28,[-390.81226668],15.082276439425922
28,29,[-391.27856431],18.875997427738074
29,30,[-390.16143581],17.17612251187816
30,31,[-390.50205128],17.970939224416558
31,32,[-389.88129012],17.212308633809137
32,33,[-392.02381974],19.83118161408588
33,34,[-389.38502807],21.499525259841572
34,35,[-388.73355211],19.746564683288035
35,36,[-390.19215434],17.420179235814796
36,37,[-388.76405709],13.637050354119504
37,38,[-388.76351616],21.634693952521893
38,39,[-389.07448976],20.70109751369014
39,40,[-390.72000025],17.279003532847973
40,41,[-391.12313053],12.755259604165047
41,42,[-388.98135947],23.32605527145694
42,43,[-389.81931289],21.750971810986297
43,44,[-390.99992793],24.519777659213904
44,45,[-389.38492279],22.298977737474925
45,46,[-390.09859399],19.764110132901354
46,47,[-389.4780527],20.021458155579037
47,48,[-391.37126154],21.40359979265868
48,49,[-389.16783582],17.93954256809119
49,50,[-387.52264638],15.864681255937827
50,51,[-390.25359659],19.634018120741604
51,52,[-389.13700605],21.54804041048493
52,53,[-390.06733453],16.92245509407737
53,54,[-391.15482078],18.172784664414145
54,55,[-388.95064095],16.97006458706326
55,56,[-391.33968104],18.460774169425772
56,57,[-389.0439844],18.964730267572886
57,58,[-388.23653447],15.403272728727321
58,59,[-389.35398626],19.680758413642344
59,60,[-389.60179474],21.00404387050205
60,61,[-388.36027763],18.51380419129073
61,62,[-391.83755768],19.735824168330492
62,63,[-392.95479444],22.655034350626398
63,64,[-389.10617815],25.78901269700792
64,65,[-391.09187331],14.998616379920882
65,66,[-391.18554154],20.99023422508529
66,67,[-394.44476437],24.87332164037107
67,68,[-389.81909749],18.36051218437426
68,69,[-391.52712726],16.706559010226318
69,70,[-387.1496963],23.99243721215412
70,71,[-392.1172707],22.297853120649705
71,72,[-392.05453789],21.037192232681043
72,73,[-390.71935404],24.860566038073916
73,74,[-392.86166303],15.860013681228715
74,75,[-390.03747801],22.736798723538715
75,76,[-387.55272055],21.52847998792475
76,77,[-389.78902294],22.872866376481873
77,78,[-393.38918678],25.511865922898956
78,79,[-388.23631944],20.725049559516137
79,80,[-388.51581781],16.49681236045529
80,81,[-389.261071],19.215922187073062
81,82,[-390.75039697],16.78439507580767
82,83,[-392.1172707],23.852009245843597
83,84,[-392.61342673],18.915706603213994
84,85,[-388.48412755],16.72278400503024
85,86,[-389.07492056],24.491330470701662
86,87,[-390.09870188],18.19542823415814
87,88,[-390.93762629],21.52993405708159
88,89,[-390.43996282],26.20665286165295
89,90,[-392.98551445],21.25925778379344
90,91,[-389.94424095],17.12298238999916
91,92,[-391.06158186],24.8239534864522
92,93,[-393.91735375],23.77944566264297
93,94,[-391.68191073],17.742269312492525
94,95,[-389.57139764],22.358323097229004
95,96,[-390.78111624],16.437376693643706
96,97,[-391.12302412],18.386673374609515
97,98,[-390.31708239],20.5000387815514
98,99,[-388.6708193],23.988327983653907
99,100,[-390.99895544],17.488276701984983
100,101,[-390.56456944],26.190556623718955
101,102,[-391.12367072],21.01617501841651
102,103,[-388.70175396],23.88921723341701
103,104,[-389.29189964],17.479654070102807
104,105,[-390.37809386],24.41796189004725
105,106,[-391.93057896],21.546314997504457
106,107,[-390.22298223],19.88407014355515
107,108,[-388.95064058],23.52984077882285
108,109,[-390.56434993],25.08517561416433
109,110,[-391.71327807],20.491462971826998
110,111,[-390.37766304],16.45226961314076
111,112,[-387.18181699],26.829301994256298
112,113,[-388.29829891],21.04894152072945
113,114,[-393.32699005],19.376629896838256
114,115,[-390.44050299],20.71208307237336
115,116,[-389.57096609],23.34555735491743
116,117,[-388.88876714],18.015076302518747
117,118,[-390.06765895],18.49022011443822
118,119,[-388.73258261],22.378505099903453
119,120,[-391.99309712],19.491121921876463
120,121,[-389.35388023],22.520208056526954
121,122,[-390.22222776],20.02975946725017
122,123,[-390.68938887],21.126146906554098
123,124,[-388.79553009],23.321197669915477
124,125,[-390.99863438],22.73589589258637
125,126,[-392.58195114],19.12077698683498
126,127,[-391.30950047],23.86775124193442
127,128,[-389.60276275],24.464107081143542
128,129,[-387.3985818],18.11649989720547
129,130,[-386.06307166],23.960822592480014
130,131,[-395.93527487],21.66761643838401
131,132,[-388.63956059],24.428055927006884
132,133,[-392.52007881],22.141968067246253
133,134,[-391.58921275],15.20373439668405
134,135,[-385.13209809],19.989538834552572
135,136,[-386.99480344],17.321423932759448
136,137,[-391.18510961],13.3731015426944
137,138,[-391.74442852],21.65906349938325
138,139,[-388.08099503],19.72876593199643
139,140,[-388.70218551],22.13542494809989
140,141,[-389.50844868],20.284282175579456
141,142,[-390.75114994],22.276770799448997
142,143,[-389.01272569],23.04683119480056
143,144,[-390.75093679],19.860806341123098
144,145,[-388.67006296],20.395882448764763
145,146,[-392.2102931],20.88660144444668
146,147,[-386.46696053],19.48995644516415
147,148,[-389.01175469],17.920601900177772
148,149,[-393.57598567],19.21632434864237
149,150,[-389.81963544],16.342744763451392
150,151,[-391.68212576],17.68101396343925
151,152,[-389.0124024],19.135505815949102
152,153,[-390.40935106],19.702441550264457
153,154,[-388.3296655],22.467955200359075
154,155,[-389.44668424],22.8794204020741
155,156,[-391.52701863],18.476082394821475
156,157,[-389.26074733],22.328606371927744
157,158,[-386.00131134],21.266769865546564
158,159,[-388.51624899],20.15677805500801
159,160,[-385.81429593],21.598057121941537
160,161,[-387.86401483],24.759108169512317
161,162,[-387.6469286],18.10378971726003
162,163,[-391.21561497],23.248367699709807
163,164,[-390.2855015],28.197016135610717
164,165,[-385.84652377],18.877984620103934
165,166,[-388.39110589],20.974002025344156
166,167,[-388.39131944],27.260104599625173
167,168,[-387.98786549],15.609634630005768
168,169,[-394.5695838],22.112209736698805
169,170,[-388.14308351],19.506625944917854
170,171,[-388.70197086],24.637267515514836
171,172,[-390.22276758],20.08051642143365
172,173,[-394.19695627],20.976014335950214
